"crsp_fundno","caldt","alpha_ann","alpha_ann_lag","age_months_lag","manager_tenure_lag","tna_latest_lag","turn_ratio_lag","exp_ratio_lag","flow_ann_lag","flowvol_ann_lag","alpha_t_lag","mktrf_t_lag","smb_t_lag","hml_t_lag","rmw_t_lag","cma_t_lag","umd_t_lag","r2_lag","value_added_ann_lag"
50153,2016-12-30,0.0490001618790947,-0.010066994073529,64,NA,126.6,0.83,0.0142,0.88146511474353,0.265453291961136,2.16146864271591,14.081488436954,-0.975534099461223,-3.8968369384833,-3.97269362604748,-0.0244286505112669,-0.315299922527901,0.916780730588146,0.755863861692535
50153,2017-12-29,0.0468081405727117,0.0490001618790947,76,NA,96.9,0.75,0.0141,-0.280322231355998,0.145478214345876,2.16303294710246,12.9157488363949,-1.19830010057163,-4.37906209468967,-3.65582319864717,-1.39623850163327,-1.04073449357284,0.925440627622627,7.20958029828804
50153,2018-12-31,-0.0273392014801943,0.0468081405727117,88,NA,115.1,0.56,0.0131,-0.134018674383484,0.0238573425807017,1.94900504094552,12.6008709027914,-1.74298471985626,-4.90131177091023,-3.19803897200861,-1.8106230469607,-1.37920046432938,0.924294961352097,6.17845296717739
50153,2019-12-31,0.00935611762350566,-0.0273392014801943,100,NA,89,1.09,0.0129,-0.201577881533844,0.0443929070644019,0.136608844797952,11.3767395106904,-1.10726195360397,-3.74629804611516,-2.98039969528146,-3.45562029826603,-0.782803075899917,0.9222646424816,-2.22823340978044
50153,2020-12-31,0.00901614580766437,0.00935611762350566,112,NA,98.3,0.44,0.0133,-0.222169993640866,0.0366845969109651,-0.43459668798579,12.0948973581954,-1.41618781471263,-2.87028078903859,-3.60072192539944,-4.18132136645394,-1.89892162144218,0.939997990839698,2.09953356577207
50153,2021-12-31,-0.0166482851259934,0.00901614580766437,124,NA,113,0.43,0.013,-0.325607330095667,0.0733908471660163,0.912932524943392,15.455539712415,1.53262033231866,-1.57059803560082,-1.83459598343324,-3.11550219051896,-0.642705058512575,0.948760291971705,0.743862961072872
50153,2022-12-30,-0.0273763398933997,-0.0166482851259934,136,NA,93.8,0.46,0.0124,-0.150433693633872,0.023224082205915,0.694777868581908,15.3888763760217,4.19696018102336,-4.30148778328726,-1.68722280565041,-3.66312760948015,-0.58313531185087,0.957117609397319,-0.802918781687675
50153,2023-12-29,-0.00138871491602791,-0.0273763398933997,148,NA,46.1,0.56,0.0124,-0.157089890380078,0.0184725237689001,-0.757730996590732,16.2519782739598,3.16898440120494,-4.00730055088439,-1.51927654542044,-1.55562473583688,-1.07977399795357,0.95002620857556,-0.150574613141057
50153,2024-12-31,0.033464095969599,-0.00138871491602791,160,NA,51.1,0.75,0.0126,-0.19168539140071,0.033645084319234,-1.75702839940399,16.3521626970582,2.27439426205881,-3.58255865949304,-2.35942731313507,-1.86704688952633,0.103863104432115,0.945518939335429,0.422389395144717
50153,2025-12-31,-0.0392768258939043,0.033464095969599,172,NA,53.4,0.31,0.0128,-0.221897954435574,0.020131482590792,-0.991148660124803,17.3837910817037,0.742473580288537,-2.33484923004974,-2.8561172852802,-1.48043027331563,0.468177282873683,0.944961800809103,2.35766654250592
